Name,Comment,Time,Likes,Reply Count,Subjectivity,Polarity,Analysis
@GillettePretPakket,I did this and i get 8 985 emails back    Since 2022    ,2024-03-01T17:30:27Z,0,,0.0,0.0,Neutral
@michellec7996,Thank you  I got my emails back but I have a question  If you accidently marked an unknown number of emails from many different senders as  report as spam and unsubscribe  do you still need to re subscribe once they are restored  How do you know which ones you need to re subscribe too ,2024-02-23T02:06:57Z,0,0,0.45999999999999996,0.1,Positive
@sahelidutta9906,It worked    For those it s 99    Change password and it will work  ,2024-02-07T14:16:26Z,0,1,0.0,0.0,Neutral
@littlemissmuffin,Thanks so much for this tidbit ,2024-03-17T23:14:00Z,0,,0.2,0.2,Positive
@poohdabee,Thank you so much   ,2024-01-25T00:45:26Z,0,0,0.2,0.2,Positive
@user-hkssf,Thank you sooo much  It worked for me and I needed this email  ,2024-01-24T18:47:32Z,0,0,0.2,0.2,Positive
@gpvrielle,This was so helpful  Thank you so much  ,2024-01-23T19:40:18Z,0,0,0.2,0.2,Positive
@addycoxx,Worked    thx for the tip,2024-01-21T08:05:43Z,0,0,0.0,0.0,Neutral
@fionamambo2374,It worked  You are a life saver  Thank you  ,2024-01-18T20:56:07Z,0,0,0.0,0.0,Neutral
@YangShiying1,THANK YOU    Saved my life,2024-01-18T16:14:49Z,0,0,0.0,0.0,Neutral
@neerumallaaishwaryaneeruma1949,Actually it is stopped at 99 but when I choose change password it came,2024-01-15T16:26:58Z,0,0,0.1,0.0,Neutral
@chinthanashok8555,It worked thanks a tonnn  ,2024-01-14T08:31:57Z,0,0,0.2,0.2,Positive
@omerts3,Worked amazingly ,2024-01-13T21:14:33Z,0,0,0.9,0.6000000000000001,Positive
@nataliephillips2781,Thank you so MUCHHHHHH,2024-01-13T17:43:40Z,0,0,0.0,0.0,Neutral
@linieshamurali5490,Wow  Its actually working  Thank You  ,2024-01-04T14:36:27Z,0,0,0.55,0.05,Positive
@dawahkids4,it doesint work still delteed forever before I went to trash then I deleted from trash from a person beczuce I  got angry pls how do I get it back does not work did everything but now work,2024-01-03T23:35:10Z,2,0,0.5,-0.25,Negative
@antonglas7488,Tried this on all my 5 gmail accounts  doesn t work ,2024-01-03T14:26:14Z,1,0,0.0,0.0,Neutral
@neerumallaaishwaryaneeruma1949,99 it s not coming,2024-01-03T11:33:42Z,1,0,0.0,0.0,Neutral
@julianarizkiamalia,Thanks for your help  it s work for me,2024-01-03T09:59:35Z,0,0,0.2,0.2,Positive
@user-kj8yg4px6q,Thank you SO much for this information  Worked perfectly for me ,2024-01-02T19:31:46Z,0,0,0.6,0.6,Positive
@MsPeggy101,Hi  Just want to say thank you very much  It worked for me  You have no idea how much you ve helped me  Thanks again ,2024-01-01T07:56:56Z,4,0,0.22,0.22,Positive
@jenniferhamblin5002,i accidentally deleted all my mail  I will try searching ,2023-12-14T15:24:26Z,0,0,0.0,0.0,Neutral
@toluwanio.8332,Thank you   It worked on my iPhone ,2023-12-11T13:55:34Z,0,0,0.0,0.0,Neutral
@kellycarter6940,what happens when it s stuck at 98  and won t finish,2023-12-07T23:17:37Z,2,0,0.0,0.0,Neutral
@prabhgopi6845,Thanks hun really appreciate it got my emails back may god bless you   ,2023-12-07T09:29:25Z,0,0,0.13333333333333333,0.13333333333333333,Positive
@jensklinggaard3836,You just saved my life  3,2023-12-03T16:59:46Z,0,0,0.0,0.0,Neutral
@jeanettebeital7472,OMG you re a lifesaver ,2023-11-30T12:59:19Z,0,0,0.0,0.0,Neutral
@lianliian88,even it says you can t recover  the mails actually go back to your bin  u just need to move the  bin  label for all of them  for me I have 26000 mails to deal with  but better than nothing,2023-11-19T09:53:40Z,0,1,0.25,0.25,Positive
@JozySeeks,hi there   i got the can t recover message   how do i move the bin label as you are saying   thanks so much   ,2023-11-29T01:15:48Z,0,,0.2,0.2,Positive
@ThePoltegeist,IT WORKED    ,2023-11-18T18:32:33Z,0,0,0.0,0.0,Neutral
@debiulrich,this worked great  Thank you very much  saved me  50 in gift cards,2023-11-16T02:15:47Z,0,0,0.505,0.53,Positive
@azharshaik4333,I can feel you want to speak western slang  just try to be your own ,2023-11-15T13:43:54Z,1,0,0.5,0.3,Positive
@user-rt8zg4hi1r,Useless,2023-11-13T19:13:10Z,4,0,0.2,-0.5,Negative
@cathybaldwin3156,This worked thank you   Life saver,2023-11-09T16:12:38Z,0,0,0.0,0.0,Neutral
@mnm202,thanks  it works   ,2023-11-05T07:04:55Z,0,0,0.2,0.2,Positive
@adrastea2127,Sister  how can I recover my notes that I accidentally deleted from Samsung Notes  I deleted it from the recycle bin too  I feel bad   ,2023-10-31T20:26:40Z,1,0,0.6666666666666666,-0.6999999999999998,Negative
@PJG1710,Trying it now 10 31 23    Still want to understand the root cause   Confirm account information  You are currently logged in and trying to recover lost emails for XXXXXXXXXXXXXXXXXX    We will try to recover emails that were deleted within the last 30 days      UPDATE  10 31 23 5 25 PM EST   What was recovered  1035 emails were the ones I deleted over the last 30 days  What I had filed in my folders are still  MISSING     Disappointing   Not sure what I can do going forward to protect emails older than 30 days which are filed in folders    ,2023-10-31T19:04:34Z,0,0,0.35793650793650794,-0.12619047619047621,Negative
@terrell4794,Useless video,2023-10-27T10:05:18Z,0,0,0.2,-0.5,Negative
@debrassanders,This worked   ,2023-10-25T17:14:25Z,0,0,0.0,0.0,Neutral
@volodymyru2760,It worked  Thanks    ,2023-10-24T23:35:04Z,0,0,0.2,0.2,Positive
@siyabongamsimanga5000,Totally useless She s just babbling no help at all  her accent is so bad,2023-10-23T08:29:03Z,0,0,0.43333333333333335,-0.5999999999999999,Negative
@mokwunyeashionyedue4477,Thanks dear this saved me yesterday night love you,2023-10-23T06:44:23Z,0,0,0.4,0.35,Positive
@user-gs1vb7os7m,useless,2023-10-14T17:31:33Z,5,0,0.2,-0.5,Negative
@diannewilliams9950,Thank you ,2023-10-11T03:19:10Z,0,0,0.0,0.0,Neutral
@dra7764,Perfect   ,2023-10-09T04:53:55Z,0,0,1.0,1.0,Positive
@karla7363,Thank you so much ,2023-10-06T13:47:29Z,1,0,0.2,0.2,Positive
@garinarabian,Thank you  It worked ,2023-10-06T09:07:44Z,0,0,0.0,0.0,Neutral
@personalgrowth8514,Options is not showing,2024-04-18T19:12:43Z,0,0,0.0,0.0,Neutral
@douniabya4378,Thanks,2024-04-01T10:05:40Z,0,0,0.2,0.2,Positive
@user-rp1pc2wb7d,chrome   settings ,2024-03-18T03:23:35Z,0,0,0.0,0.0,Neutral
@tariqueofficial7401,Thank you so much  ,2024-03-10T18:55:14Z,0,0,0.2,0.2,Positive
@user-kc8mr5sd4z,Idiot tutorial,2024-03-06T19:56:00Z,0,0,0.8,-0.8,Negative
@bahattinumur135,Thank you very much   I found the answer only your video ,2024-02-04T10:17:04Z,1,0,0.63,0.13,Positive
@sujal...............,Thanks   ,2024-01-16T14:28:23Z,1,0,0.2,0.2,Positive
@samdanisanam,Thanks      I love u  I love u  I love u    thank u     ,2024-01-09T18:22:52Z,1,0,0.5,0.425,Positive
@SonuGupta-xl8wh,Thank you  ,2024-01-09T04:19:19Z,1,0,0.0,0.0,Neutral
@user-vt8xe1qm6, ,2023-12-16T07:59:42Z,1,0,0.0,0.0,Neutral
@shoptimelessboutique5858,Thank you ,2024-04-30T14:22:00Z,0,0,0.0,0.0,Neutral
@lucianacopacaba9826,ok but can u do a preview im so shy and im scared cuzs i am a kid,2024-04-21T02:03:49Z,1,0,0.5,0.0,Neutral
@realcatpfp,thx,2024-01-27T16:34:04Z,0,0,0.0,0.0,Neutral
@stormcloaksoldier3513,little indian bro already doing those  how to  videos    Fly high  my little punjabi,2024-01-26T18:34:18Z,1,0,0.61,0.14625000000000002,Positive
@johnwilburn8524,could not understand the person describing how to clear cache,2024-01-22T19:42:02Z,4,0,0.3833333333333333,0.10000000000000002,Positive
@sharonr.ayersman5888,Absolutely nothing happens on my computer ,2024-01-12T13:35:09Z,3,1,0.9,0.2,Positive
@kNoCKs,your probably hitting back space and not delete,2024-04-08T13:21:20Z,0,,0.0,0.0,Neutral
@IsoMSS,Thank you,2024-01-10T22:32:52Z,0,0,0.0,0.0,Neutral
@sankalansen8146,Thank you mam,2023-10-22T12:07:53Z,1,0,0.0,0.0,Neutral
@TheAndromeda24,YES  Thank you so much  You deserve flowers ,2024-04-29T01:51:45Z,0,0,0.2,0.2,Positive
@thepeacewizardwow6383,DONT GIVE ADVICE,2024-04-13T23:48:37Z,2,0,0.0,0.0,Neutral
@poojachaudhary7195,thank you ma am,2024-04-10T08:37:14Z,0,0,0.0,0.0,Neutral
@BekzodIsmoilov-qd5zy,Thank you   It solved my issue dear    ,2024-04-07T02:09:58Z,0,0,0.0,0.0,Neutral
@ItsJohnMarstonMicahh,Here for mojave   ,2024-03-30T04:50:32Z,1,1,0.0,0.0,Neutral
@Kejaishdhejjsbshsbebe,Me too,2024-03-30T13:15:36Z,0,,0.0,0.0,Neutral
@2ndRodeo_Keziah,Thank you   but next time  maybe turn up the gain on your mic input       ,2024-03-28T21:43:33Z,0,0,0.0,0.0,Neutral
@cosmosxd,why does this channel have 391k subs  this is literally a little kid  the older videos from 9 yrs ago sound like a 20 yr man wtf ,2024-03-01T05:16:29Z,0,0,0.5583333333333333,-0.030208333333333337,Negative
@berryerpacic9995, programming knowledge  how old are you  10  also i cant hear nothing   sry but this was just a waste of time  ,2024-02-26T03:46:23Z,1,0,0.1,-0.05,Negative
@RealArtVandelay,WHAAAT  ,2024-02-01T22:19:33Z,0,0,0.0,0.0,Neutral
@reymicroc,windows 11 activates my mic as soon as I open obs but I m not using it and creates echo effect,2024-01-22T05:30:08Z,1,4,0.5,0.0,Neutral
@rajgamer2.040,Whenever I live stream from OBS  I hear my team s voice fine but the voice gets echoed on the stream  Do you know why ,2024-01-23T16:08:42Z,0,,0.5,0.2765151515151515,Positive
@Prvda999,Everybody s voice works fine but the gameplay echoes in my recordings,2024-03-12T05:11:14Z,0,,0.5,0.4166666666666667,Positive
@rajgamer2.040,  Prvda999 i know how to fix it give me your insta i will send you tutorial,2024-03-12T05:19:06Z,0,,0.0,0.0,Neutral
@itzsaptr,same    Prvda999,2024-04-28T22:56:33Z,0,,0.125,0.0,Neutral
@Fliper_gt,THANK YOU SOOOO SOOO MUCH               ,2023-12-07T18:46:32Z,0,0,0.2,0.2,Positive
@THEREALDPVRK,lazy effort,2023-11-18T18:15:06Z,1,0,1.0,-0.25,Negative
@iva4856,Ironic that this video has a serious audio issue with it yet it is supposed to be a demo of how to fix your audio in OBS ,2023-10-15T04:25:28Z,42,2,0.7833333333333333,-0.06666666666666665,Negative
@ghettosoundentertainment1351,LOLZZZ,2023-12-06T15:38:06Z,0,,0.0,0.0,Neutral
@thrive652,right ,2023-12-11T23:11:46Z,1,,0.5357142857142857,0.2857142857142857,Positive
@GoosebeatsTV,you re so quiet,2023-09-22T20:18:38Z,1,0,0.3333333333333333,0.0,Neutral
@TageTaminITOfficer,fuck cant hear a word you saying  its funny the video is about audio extract,2024-04-24T09:41:39Z,0,0,0.8,-0.07500000000000001,Negative
@GuitarUniverse2013,I hope you understand that 95  of all the people in the world can t possibly understand what you re saying  maybe if you slow down  Maybe if you open your mouth mouth  Maybe if you enunciated your vowels  Or  maybe if I had grown up where you grew up I can understand you  But I didn t  so I can t  Bye bye,2024-02-06T02:50:58Z,1,0,0.5472222222222223,-0.1138888888888889,Negative
@Noobelix2,how do you fix it if it s offsync ,2024-02-03T03:10:18Z,1,0,0.0,0.0,Neutral
@petersondanielsimmerseinmu51,What if a video has dual audio   How do you then extract a particular audio from it ,2024-01-24T14:54:16Z,6,0,0.3333333333333333,0.16666666666666666,Positive
@SOLORIDER-BDVT,what a voice   wavvv your voice is wavv i went to Russian vacant nuclear site where nobody is there to disturb me to hear your voice  wavvv what a loud voice and also didnt get the result   lol,2024-01-13T17:43:26Z,3,1,0.5,0.3,Positive
@QuickClear34, ,2024-01-19T16:09:57Z,1,,0.0,0.0,Neutral
@jit5264,great video,2024-01-11T01:15:36Z,0,0,0.75,0.8,Positive
@muhammadwaqas-vo2tf, mp3 put in brower name at last then audio export,2024-01-05T03:03:50Z,0,0,0.06666666666666667,0.0,Neutral
@siete-g4971,thanks,2023-11-12T23:20:16Z,1,0,0.2,0.2,Positive
@pastoryoda2789,Your Audio is soo low,2023-10-26T17:41:05Z,2,0,0.3,0.0,Neutral
@LivingStyleVlogs,I m new subscriber,2024-04-29T15:31:51Z,0,0,0.45454545454545453,0.13636363636363635,Positive
@MDU.question_paper,Customize channel option is not there   what to do ,2024-04-07T18:21:29Z,0,0,0.0,0.0,Neutral
@neovincibeats,Dosent work for me,2024-01-05T21:12:14Z,3,0,0.0,0.0,Neutral
@enoritious,Thank you for the tip  really useful ,2023-12-28T10:45:33Z,0,0,0.0,0.3,Positive
@FirdousTechS,Low voice    ,2023-07-05T04:09:45Z,0,0,0.3,0.0,Neutral
@YKoli5678,thanks its helpful ,2024-01-11T04:36:35Z,0,0,0.2,0.2,Positive
@zingbawisungzingbawisung9276,zing bawi sung myanmar,2023-07-03T18:51:46Z,1,0,0.0,0.0,Neutral
@dem3757,when i open a new tab i dont see it,2023-07-09T06:08:09Z,7,3,0.4772727272727273,0.06818181818181818,Positive
@yoru3180,same,2023-08-16T15:23:54Z,0,,0.125,0.0,Neutral
@user-di8qv2hx7p,WHERE IS THE PEN               ,2023-11-20T10:00:28Z,0,,0.0,0.0,Neutral
@gabyyy_feaa4635,Yes  I don t see it either ,2024-01-18T14:24:18Z,0,,0.0,0.0,Neutral
@user-ep8nm6sn5t,Attitude Indian girls    ,2023-11-21T18:29:01Z,0,0,0.0,0.0,Neutral
@ritenderpritsingh,Isn t this channel underrated  ,2023-06-30T12:41:15Z,2,1,0.0,0.0,Neutral
@OGFluffduck,Fr though ,2023-09-28T20:58:00Z,1,,0.0,0.0,Neutral
@user-qb2fb7eu9w,Thank God I read the transcript ,2024-04-30T07:37:16Z,0,0,0.0,0.0,Neutral
@shravyakraleti5320,I have tried the same and downloaded the zip file  however when I m unable to extract the data  it s giving me  unexpected end of archive  and  either multipart or corrupt zip archive  error  Pls let me know how to extract data after I downloaded it,2024-02-19T19:19:53Z,1,0,0.65625,-0.225,Negative
@rubayetraihan1660,you talking so fast  that s good but I couldn t understand lot of words   so why    ,2024-02-11T19:12:43Z,2,2,0.6000000000000001,0.44999999999999996,Positive
@hitesh__soni9560,You can slow the speed of video,2024-04-06T16:41:31Z,0,,0.39999999999999997,-0.30000000000000004,Negative
@sulman36,That s your problem  slow down the video or rewatch it,2024-05-03T03:58:38Z,0,,0.34444444444444444,-0.2277777777777778,Negative
@Legend14385,  good  ,2024-02-11T11:46:15Z,0,0,0.6000000000000001,0.7,Positive
@ganeshseetan1988,Thanks and I love your voice and accent ,2024-01-14T10:09:20Z,0,0,0.4,0.35,Positive
@astrovinetparekh319,if i use ur method  for multiple photo which are in my drive many are not compressed and zip properly half are leftout  i have almost 1036 photo in one folder which i need to download do u have any solution    ,2024-01-03T03:23:47Z,0,0,0.2222222222222222,0.11111111111111112,Positive
@Noob-pm9jb,Thanks you gain a subscriber,2024-01-02T09:32:49Z,0,0,0.2,0.2,Positive
@youtuberandblogger-dibyapa3209,Very Good I felt I like a piece of cake while doing it   Good explanation with easy steps keep it up ,2023-09-10T20:21:32Z,2,0,0.737777777777778,0.681111111111111,Positive
@daneenaish3211,Priority ,2023-08-08T13:37:23Z,1,0,0.0,0.0,Neutral
@daneenaish3211,What is the difference of selecting the file size 1GB to 50Gb  Like what is the purpose  What shoud be the prioy ,2023-08-08T13:36:43Z,1,1,0.0,0.0,Neutral
@eyemovie824,if you choose 2 gb  you can t download more than 2gb file with one click   its good to keep it 50 gb,2023-10-27T03:58:07Z,0,,0.55,0.6,Positive
@ScrangifyingEditz,for me it says 6gb of free space is needed in some random folder,2024-04-26T19:22:59Z,0,0,0.65,-0.04999999999999999,Negative
@ChetanSharma-mc5kr,Bluestacks app player aa hi nahi rha and bluestacks X se bhi app player open nahi ho rha  Google player store open nahi ho rha ,2024-04-25T06:19:51Z,0,0,0.5,0.0,Neutral
@Moeinafzal,My pc core i3 4gb ram no graphic card nothing but blue stack 10 successfully installed,2024-04-18T16:02:02Z,0,0,0.48333333333333334,0.25,Positive
@mairoldpeters5182,it doesnt open when i try to,2024-04-12T20:33:23Z,0,0,0.5,0.0,Neutral
@MDJOBEDOfficial,VN Vdioe pc,2024-03-07T11:48:58Z,0,0,0.0,0.0,Neutral
@MrAnonymous84,Big respect to you sir ,2024-02-25T00:07:47Z,0,0,0.1,0.0,Neutral
@Kanosuuuba,I needed this for a competition for 30 thousand,2024-02-20T19:47:09Z,0,0,0.0,0.0,Neutral
@udaanian,Windown 10 me download kr skt3 h,2024-01-13T06:09:05Z,0,0,0.0,0.0,Neutral
@user-rz4en1jx1f,oh my              thanks bro,2024-01-10T13:08:13Z,0,0,0.2,0.2,Positive
@eagle5705,it is safe ,2023-12-16T18:15:56Z,0,0,0.5,0.5,Positive
@user-lb4wd2vh4g,Lol for windows 10 users,2023-12-02T16:36:53Z,0,0,0.7,0.8,Positive
@thesmartfilesstudios3809,App player not responding,2023-11-23T19:14:56Z,0,0,0.0,0.0,Neutral
@Viperrito,I cannot play Brawl Stars  it does not appear like the option to download it  well  the Brawl Stars doesn t even appear ,2023-11-17T06:22:06Z,0,0,0.0,0.0,Neutral
@nubenoticias1340,You didnt even show how to configure playstore    sorry but poor video   ,2023-11-11T22:01:12Z,1,0,0.8,-0.45,Negative
@TheSoulPunisherUno,you have earned one dislike from me for clickbaiting all of us who were searching for a solution by giving this crap ,2023-11-04T17:08:18Z,0,0,0.8,-0.8,Negative
@user-vt3ld6bx3z,bro it said cannot run bluestack clearly in your video how are we supposed to fix that  ,2023-11-03T07:01:13Z,11,0,0.3833333333333333,0.10000000000000002,Positive
@flavaa9494,tried downloading minecraft it just keeps asking me to restart my pc and after doing it a couple of times it just doesnt seem to work,2023-10-30T04:27:40Z,5,0,0.0,0.0,Neutral
@aarav305,i have a question can u answer it pls,2023-10-28T14:37:38Z,0,0,0.0,0.0,Neutral
@aarav305,i have a question,2023-10-28T14:37:08Z,1,0,0.0,0.0,Neutral
@uditupadhyay3162,Thank you  ,2023-10-15T05:01:42Z,0,0,0.0,0.0,Neutral
@mustafaarnold-fh6od,thanks,2023-09-12T12:13:10Z,0,0,0.2,0.2,Positive
@adarshs4359,How to sign In playstor in this version,2023-09-06T13:11:47Z,0,0,0.0,0.0,Neutral
@filmocreate56,Brother  is blue stacks a safe website,2023-08-29T16:32:45Z,0,1,0.3,0.25,Positive
@niteshrao8735,Yes bro,2023-09-02T14:31:11Z,0,,0.0,0.0,Neutral
@cooperentertainmentstudio4948,App player is a piece of shix,2023-08-25T21:41:17Z,0,0,0.0,0.0,Neutral
@darkizofficial,Thank you my man ,2023-08-22T14:54:54Z,4,0,0.0,0.0,Neutral
@Kannadadailyupdate,cannot start bluestacks  please send problem report  ,2023-08-20T11:54:30Z,1,0,0.0,0.0,Neutral
@shivambagwan7936,Hello bro Bluestack ke andar yadi koi aap me vedio dekh rahe hai or us vedio ko download krna ho to kese kare ge     Reply Please,2023-08-11T12:49:29Z,0,0,0.0,0.0,Neutral
@makilende,My app player is not opening  and kinda feels like I pause or something like it,2023-08-07T14:03:49Z,5,0,0.0,0.0,Neutral
@Iciwitty,Yeah  nothing on that works for me  I do all that it said and my computer says   Something is wrong  error code  26   they then proceed for me to check FAQs and details but that didn t have any use for the issue that I am having  The other versions used to work for me on my other computer but now  comparing to all that I have to research just to make it work  it s like I need to go get a degree for it ,2023-08-05T04:26:21Z,16,1,0.5499999999999999,-0.25,Negative
@muhammadyusufmishbah2909,Same,2023-09-08T07:21:33Z,0,,0.125,0.0,Neutral
@ClashPlays2024,man  i see that you cant run app player as well as me    3 32 how can we fix this  damn windows 11   ,2023-08-03T15:06:19Z,7,1,0.0,0.0,Neutral
@Woodlin94,yup thats me to  any fix ,2023-09-24T22:48:21Z,0,,0.0,0.0,Neutral
@klodgultiano1046,this dumb4ss just ignore the  Cannot start bluestacks ,2023-07-24T12:28:27Z,0,0,0.0,0.0,Neutral
@d.r.s7137,In mine Bluestack 5 gets installed when I try to download Bluestack X,2023-07-16T09:03:22Z,3,0,0.0,0.0,Neutral
@kazuma5038,mc pc just crashed installing bluestacks X and it is brand new   ,2023-07-13T11:08:54Z,38,18,0.45454545454545453,0.13636363636363635,Positive
@Mohammed.1471,Same  ,2023-07-15T04:53:05Z,3,,0.125,0.0,Neutral
@mayurbhavsar2885,same,2023-07-29T18:02:55Z,1,,0.125,0.0,Neutral
@cheenasachdeva6612,Same,2023-08-02T10:13:02Z,0,,0.125,0.0,Neutral
@desooooooooooooooo,same,2023-08-06T22:57:58Z,0,,0.125,0.0,Neutral
@sanjaysoni2259,same   do you find any solution,2023-08-13T23:21:18Z,0,,0.125,0.0,Neutral
@easyj,just enable disable hyperV on your pc and you should not get the blue screen crash,2023-08-16T22:41:16Z,1,,0.1,0.0,Neutral
@desooooooooooooooo,THANK YOU  easyj,2023-08-17T03:39:21Z,0,,0.0,0.0,Neutral
@easyj,  desooooooooooooooo no problem mate,2023-08-17T08:55:54Z,0,,0.0,0.0,Neutral
@snipershot3237,Couldn t be me    ,2023-08-23T01:14:47Z,0,,0.0,0.0,Neutral
@ClashPlays2024,It s windows 11  damn ,2023-08-23T13:32:15Z,0,,0.0,0.0,Neutral
@mrxofficial69,Same bro,2023-09-16T07:14:24Z,0,,0.125,0.0,Neutral
@suryakantjamdar1072,   easyjhow to do this step,2023-11-04T16:22:35Z,0,,0.0,0.0,Neutral
@moveu5978,Same anyone find the sol  ,2023-11-21T14:20:04Z,0,,0.125,0.0,Neutral
@adityaprasad2372,Same here   idk why,2023-11-22T15:33:27Z,0,,0.125,0.0,Neutral
@Notmeeop,Turn on vertulaigation,2024-01-04T00:50:55Z,0,,0.0,0.0,Neutral
@user-vx2qp6qd4k,Same,2024-04-28T04:30:38Z,0,,0.125,0.0,Neutral
@user-vx2qp6qd4k,   easyjwhat is HyperV and where do I find it ,2024-04-28T04:31:21Z,0,,0.0,0.0,Neutral
@easyj,  user vx2qp6qd4k look it up on google  you will see a lot of tutorial  hyper V is part of the system  handle virtualization stuff,2024-04-28T07:17:12Z,0,,0.0,0.0,Neutral
@void6333,why does it go to blue screen when i install it pls help,2023-07-02T12:27:46Z,3,1,0.1,0.0,Neutral
@EliasIzumi,same boss fk send help,2023-09-09T05:21:58Z,0,,0.125,0.0,Neutral
@Rybay,cant hear you,2024-03-12T13:13:41Z,1,1,0.0,0.0,Neutral
@Rybay,and i do not get the join from my browser option   ,2024-03-12T13:14:58Z,0,,0.0,0.0,Neutral
@shameakther569,Nice bro good working     ,2023-10-25T14:40:13Z,0,0,0.8,0.6499999999999999,Positive
@user-en3wo7ll5j,I run sudo apt install build essential But my g   version and gcc version are 9 04,2024-02-18T09:50:03Z,0,0,0.65,0.3,Positive
@Buntyshah95, Invalid opretion          ,2024-02-06T16:43:05Z,0,0,0.0,0.0,Neutral
@prasad4718,Thank you  ,2024-02-03T13:51:40Z,0,0,0.0,0.0,Neutral
@MaazAslam-wg7hw,so with this both c   and c are installed ,2024-01-01T14:51:08Z,0,1,0.0,0.0,Neutral
@prasad4718,Yes ,2024-02-03T13:52:04Z,0,,0.0,0.0,Neutral
@arthurwolf7641,thanks for the toturial   ,2023-11-22T11:10:32Z,0,0,0.2,0.2,Positive
@myzahra4029,from where i get the pack of c c  ,2023-11-20T22:32:37Z,0,0,0.0,0.0,Neutral
@CSE-C_OFFICIAL_.,When i type my password after executing the command in the terminal  I get  the username  is not in the sudoers file  This incident will be reported  Which 8s on my Ubuntu VM s Terminal   Please help what to do    to sort out this issue   ,2024-04-28T11:10:15Z,1,0,0.0,0.0,Neutral
@salaar_saaiem,i am unable to enter my password  after writing the command  i am using oracle virtual box  can somebody help please,2024-03-02T11:13:53Z,0,3,0.5,-0.5,Negative
@kinzazahra7947,Are you still facing this problem  If you have solved kindly share because i am facing the same issue,2024-03-18T18:47:07Z,0,,0.5125,0.3,Positive
@salaar_saaiem, kinzazahra7947  enter your password  it doesn t show due to security policies  but it is actually taking input  so enter your password and hit enter  ,2024-03-19T04:26:59Z,0,,0.2375,-0.0625,Negative
@salaar_saaiem,   kinzazahra7947due to security policies  it doesn t show the input  but actually you are entering your password      so type your password and Hit Enter   ,2024-03-20T04:58:51Z,0,,0.1,0.0,Neutral
@joeljain10,Thanks,2024-02-08T15:38:36Z,0,0,0.2,0.2,Positive
@Ash-fo4qs,how to install gcc 13,2024-02-05T10:11:59Z,0,0,0.0,0.0,Neutral
